trait,Quartiles (d),Breed base (d),Composite (−r)
Milk (kg),0.1725491855383575,0.040625648356660264,-0.011049352711136417
Fat (kg),0.5779376424151984,0.3153132987745513,0.21032077281852615
Prot (kg),0.5289644976624298,0.29983612420721,0.18726022626748412
Pro$,0.8623006173606238,0.475340260195557,0.37428542036485507
HL,1.0939963831221382,0.5707756815062366,0.4236708349158952
BMR,1.4394381732160173,1.1507637136173374,0.654038590065231
ENVIRO,0.9858979835541432,0.8279489053770337,0.4478295176347174
DF,0.4945417657147342,0.3552480715009355,0.18778984072457727
REPRO,0.5375156774277519,0.3908936518434142,0.22710044524459122
