trait,small,big,diff,p,winner
Milk (kg),436.0251256281407,341.6755319148936,94.34959371324709,0.12857006476966648,tie
Fat (kg),50.19095477386934,30.851063829787233,19.33989094408211,1.4369794744374798e-08,SMALL
Prot (kg),30.030150753768844,19.085106382978722,10.945044370790121,3.150515626381034e-07,SMALL
%Fat,0.275678391959799,0.14430851063829786,0.13136988132150113,1.868186510444836e-05,SMALL
%Prot,0.11934673366834171,0.05797872340425532,0.06136801026408639,3.988810308395883e-05,SMALL
PROD,566.4572864321608,520.1914893617021,46.26579707045869,2.8272401229903048e-08,SMALL
Pro$,1388.9447236180904,772.0212765957447,616.9234470223457,1.7234296195996836e-15,SMALL
LPI,3289.0854271356784,3135.2021276595747,153.88329947610373,3.556610798603512e-09,SMALL
HL,103.90954773869346,100.2872340425532,3.6223136961402673,2.400613292584086e-22,SMALL
BMR,100.05025125628141,95.52659574468085,4.523655511600566,7.361888003427674e-32,SMALL
FE,101.07035175879398,99.49468085106383,1.5756709077301423,0.0001688998558033487,SMALL
ME,101.36363636363636,100.93604651162791,0.42758985200845245,0.48529127104327674,tie
ENVIRO,519.713567839196,433.9148936170213,85.79867422217472,1.323817624488579e-18,SMALL
DF,99.95979899497488,98.1063829787234,1.8534160162514723,2.3620297538139117e-06,SMALL
REPRO,502.8291457286432,463.48936170212767,39.33978402651553,5.126140755590432e-07,SMALL
